ResponseId,best_tip
R_puDM4eNFJEQtbSp,2
R_pxybpwzurwsvHOx,0
R_qwH24CdEQKZvFrH,3
R_r14KQi9lk3v4x8d,1
R_sczeqFlCRT5IXtL,1
R_tPrh8VqPRUxUFUJ,3
R_uh4FQgECTBDB28h,3
R_uqNx7GpwF1WxQAN,0
R_w02fQy5jAKKztD3,2
R_wYIoenqefos6uYx,0
R_xlnJEPOkxxHspJT,2
R_yNJaIImQ7EY3J5v,1
R_yqY6xKo4dUHco6d,1
R_yrKr3inrXDL5Lvb,0
R_z6DSJfELElPHABP,3
