ResponseId,MID,treatment,t1,t2,t3,t4,t1n,t2n,average score,best_tip,best_tips,best_tip_open,post_diff,post_similar,post_age,post_gender,post_edu,post_strategy,post_strategy2,post_prioritize,post_change2,Group #,Dim. 1,Dim. 2 (Advantage),Dim. 3 (Explanation),Dim. 4 (Negative / Positive)
R_1Fxl79gVeDov6jj,A281ASP4WWAN3E,b1,38,38,36,37,23,28,33.33333333,Server should do all plating / Sous-Chef shouldn't plate,Server should do all plating / Sous-Chef shouldn't plate,Let sous-chef cook more,Slightly difficult,Once in a while,26,Male,High school graduate,Try and be as efficient as possible,"Keep all workers busy,Learn who is faster at what first and then assign task to worker who does it the fastest.",The faster people try and give them what they're best at,I relied on sous chef much more,3,M1,A0,E0,N0
R_1GKqXBGAQZEfU2B,A1LQQQ8MKXH4QD,b1,41,35,34,39,27,25,33.5,Server should cook once / Sous-Chef should cook three times,Server should cook once / Sous-Chef should cook three times,Sous Chefs make better choppers than cooks,Moderately difficult,2-3 times a week,28,Female,4 year degree,counting ticks,Keep all workers busy,tried to assign so timing lined up,I made the sous chef more important,3,M0,A1,E1,N0
R_1GxdbDjwSpUMRP8,A2AUFOPKR5W8YZ,b1,38,38,36,35,25,20,32,Keep everyone busy at all time / Do not leave anyone idle,Keep everyone busy at all time / Do not leave anyone idle,Use your workers wisely based on their skills,Moderately easy,Once a week,32,Male,4 year degree,Choosing the best option depending on the worker's skill set,Learn who is faster at what first and then assign task to worker who does it the fastest.,Time,After understanding the worker's skills I tried to prioritize them when I had the chance,2,,,,N0
R_1H2BWIoQ65wHxwt,AQ9BG65BESMK3,b1,40,38,38,38,21,26,33.5,Server shouldn't cook / Sous-Chef should do all cooking,Server should do all plating / Sous-Chef shouldn't plate,Allow server to plate all orders,Slightly difficult,Never,20,Female,4 year degree,Assign tasks to those who perform the fastest,"Keep all workers busy,Intentionally leave some workers idle,Learn who is faster at what first and then assign task to worker who does it the fastest.",Harder tasks go to the more experienced workers,Give moderately hard tasks and plating to the server.,3,P4,A2,E0,N0
R_1IZsAwx78ztqbwm,A1G414LKFO8Y3S,b1,38,38,38,39,20,24,32.83333333,Server should chop once / Sous-Chef should chop three times,Server should chop once / Sous-Chef should chop three times,Maybe leaving workers idle will help,Moderately difficult,Once a month,22,Female,4 year degree,I tried to learn from each successive game.,"Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.",The server was good at plating while the chef was good at cooking.,"I had to find someone else to cook, the sous-chef in this case.",2,,,,N0
R_1IgdfIC9NaPpQo6,A15SJZQBR8I3B3,b1,40,46,41,38,23,30,36.33333333,Keep everyone busy at all time / Do not leave anyone idle,"Server should plate three times / Sous-Chef should plate once,Server should chop only in the first tick,Keep everyone busy at all time / Do not leave anyone idle",Use all workers,Moderately difficult,Never,45,Female,Some college,to figure out which order and who was doing what.,"Keep all workers busy,Learn who is faster at what first and then assign task to worker who does it the fastest.","I used both sous chef and server, just had to figure out how to lower your score.",before the change I only used the server to plate. After the change I had to use both workers to bring down my score.,2,,,,N0
R_1IgsUfbSizGtJd5,AV14XIF0SS1KA,b1,38,38,38,37,25,25,33.5,Server should chop three times / Sous-Chef should chop once,Server should chop once / Sous-Chef should chop three times,just the tip,Neither easy nor difficult,Never,45,Female,Some college,move things around,Keep all workers busy,no,none,3,K2,O1,E0,N0
R_1KpNJ3iiJ4lKZ7e,A16SX6RX2P2DF7,b1,39,38,38,37,26,21,33.16666667,Server should chop once / Sous-Chef should chop three times,Server should chop once / Sous-Chef should chop three times,only have server chop and cook once,Slightly difficult,Once in a while,32,Female,Some college,switching tasks each time,Learn who is faster at what first and then assign task to worker who does it the fastest.,based on speed or availibility,split task evenly at first then based on strengths,3,"K1, C1","D0, D1",E0,N0
R_1LUL7OFEJebNCsi,A38RT2WG47RMJU,b1,37,34,37,38,24,37,34.5,Server should chop once / Sous-Chef should chop three times,Server and Sous-Chef should plate two times each,sous chef is the fastest at tasks,Neither easy nor difficult,Once in a while,40,Female,Some college,figure out which worker had the fastest times for each task and assign that worker,"Intentionally leave some workers idle,Learn who is faster at what first and then assign task to worker who does it the fastest.",by the time it took each,used the same strategy,3,M1,O1,E0,N0
R_1LZkFVvsWm9qNgE,ARWOQI7P5W6VO,b1,42,45,45,48,29,33,40.33333333,Server shouldn't cook / Sous-Chef should do all cooking,Server should chop once / Sous-Chef should chop three times,Only have the server plate,Slightly difficult,Never,31,Female,High school graduate,Going with the sou chefs over server,Keep all workers busy,"cooking to chefs and sou chef, others to server",I was keeping them both busy,3,P4,A2,E0,N0
R_1MJP1XlYOzPgnIS,A8L94A9EF23BV,b1,39,36,39,38,24,26,33.66666667,Keep everyone busy at all time / Do not leave anyone idle,"Server should cook once / Sous-Chef should cook three times,Keep everyone busy at all time / Do not leave anyone idle",server can do cooking/preparing tasks,Moderately easy,Never,36,Female,Professional degree,to spread it out but also play to their strengths without using so many clicks,"Keep all workers busy,Learn who is faster at what first and then assign task to worker who does it the fastest.",even if the server took longer if he wasnt doing something i gave him a job because the sous chef was still working,the server had to do more work,3,M0,D0,E0,N0
R_1MZeZAdOXSgV0QN,ABSK9TAZ0NNRD,b1,41,38,39,36,29,22,34.16666667,Keep everyone busy at all time / Do not leave anyone idle,"Server should chop once / Sous-Chef should chop three times,Server shouldn't cook / Sous-Chef should do all cooking,Server should plate three times / Sous-Chef should plate once,Keep everyone busy at all time / Do not leave anyone idle",Server should never cook,Moderately difficult,Once a month,28,Male,Some college,Just to try to figure out how to utilize each workers strengths and offset their weaknesses.,Learn who is faster at what first and then assign task to worker who does it the fastest.,"Anything cooking went to the chef or sous-chef. Plating was almost exclusively for the server. Most of the time, I'd have the server also chop the meat.",Assign tasks more frequently.,3,K0,D0,E0,N1
R_1NFhy5475RglGnu,A3KNVVL06ERPOP,b1,39,38,36,35,20,20,31.33333333,Server should cook once / Sous-Chef should cook three times,Server should cook once / Sous-Chef should cook three times,server should cook once,Slightly easy,Never,28,Male,4 year degree,assign tasks to someone who will complete it in fewer steps,"Keep all workers busy,Intentionally leave some workers idle,Assign the same task to the same worker,Assign as many tasks as possible to one worker,Learn who is faster at what first and then assign task to worker who does it the fastest.",i prioritized based on how quick they finished each task,"it was more challenging, i had to leave idle workers",3,K1,D0,E0,N0
R_1NquXpf0P1Qm0nD,A903LA4GTXXFE,b1,39,39,39,39,21,21,33,Keep everyone busy at all time / Do not leave anyone idle,Server shouldn't cook / Sous-Chef should do all cooking,don't have the server cook,Slightly difficult,Never,36,Female,Some college,assign tasks as they came up,"Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.","chef cooked and chopped, sous chef did a little of everything, server plated and picked up the slack","I didn't change it much, just gave the workers different work",3,K0,D0,E0,N1
R_1NzfW8KQB8CBKxl,A32LU0BX4NYPYL,b1,41,38,39,41,31,20,35,Server should chop only in the first tick,Server should chop only in the first tick,Allow some workers to be idle.,Moderately difficult,Once a month,29,Female,Professional degree,Try to problem solve the round before and do something different the next time.,"Keep all workers busy,Intentionally leave some workers idle,Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.",My first priority was to use their strengths. My second priority was to make sure someone always had a job.,I allowed some workers to stay idle based on their strengths.,2,,,,N0
R_1OSItm60x3RkDC4,A12YDR1OFKMZF6,b1,38,38,38,39,21,21,32.5,Keep everyone busy at all time / Do not leave anyone idle,Keep everyone busy at all time / Do not leave anyone idle,"I am not sure, I didn't do very well!",Moderately difficult,Never,29,Female,4 year degree,I didn't have one - couldn't figure it out,Learn who is faster at what first and then assign task to worker who does it the fastest.,"I tried making the chefs do the more """"cooking"""" tasks",I tried to use the most efficient workers whenever possible.,1,,,,
R_1OUplwWj1i7DRBA,A8EG8PH2OMNF,b1,38,38,41,38,21,21,32.83333333,Server should cook once / Sous-Chef should cook three times,Server should cook once / Sous-Chef should cook three times,Server should only cook once.,Slightly easy,Never,27,Female,Some college,Fill all slots with most effiecient worker,"Keep all workers busy,Learn who is faster at what first and then assign task to worker who does it the fastest.",Workers who performed task the quickest got that task unless there was no other choice.,More flexible when assigning tasks,3,K1,D0,E0,N0
R_1OccB2nAKKiqCs1,A1L8OMD0O1FM1H,b1,41,42,50,43,26,25,37.83333333,Server should do all plating / Sous-Chef shouldn't plate,Server and Sous-Chef should chop two times each,Always make sure both are working,Slightly difficult,Once a month,36,Male,Professional degree,Make sure that someone always had something to work one,Keep all workers busy,Time it would take to complete the task,Same strategy,2,,,,N0
R_1OpqWG8ICGMx1ja,AWXQBEFXXKUDK,b1,38,38,38,36,21,21,32,Server should chop three times / Sous-Chef should chop once,Server should chop three times / Sous-Chef should chop once,Strategically leave some workers idle.,Slightly difficult,2-3 times a week,28,Female,Professional degree,"Estimate whether it would take more time to wait for a high-skilled worker to become free, or to go ahead and assign a task to a slower worker.","Keep all workers busy,Intentionally leave some workers idle,Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.",A balance of speed and urgency -- how close a dish was to being finished and how much was left to do.,I realized it was faster to leave some workers idle.,2,,,,N0
R_1OxG13TYDkKzTuQ,A2I4A4WGWII18Z,b1,38,42,38,38,28,20,34,Server and Sous-Chef should plate two times each,"Server shouldn't cook / Sous-Chef should do all cooking,Server and Sous-Chef should plate two times each",Prioritize the sous chef for meal prep and the server for plating.,Moderately difficult,Once in a while,43,Female,4 year degree,"I tried to notice what the sous chef and server could do. The server was not good at cooking burgers, for example. Still, it didn't seem like my strategy was working very well.","Intentionally leave some workers idle,Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.","The sous chef was better at doing meal-related tasks, and the server did decently at getting things finished. Near the end I was realizing it was better to not assign tasks all the time. I think that might have been part of the trick that would have resulted in less ticks. I did not do a good job at seeing the tips until near the end, too, such as having the sous chef plate twice.Then I tried to count the number of times.","I could pay more attention and keep better track of which tasks they were better at, since there were less to pay attention to. I figured out more quickly, for example, that the server shouldn't be doing meal prep, and the sous chef should be prioritized for that.",3,M1,"A0, A1, A2",E0,N0
R_1P7USaskA24LxIZ,AL5MR5NR0VYFI,b1,43,35,38,40,30,29,35.83333333,Server shouldn't cook / Sous-Chef should do all cooking,Server shouldn't cook / Sous-Chef should do all cooking,the server takes a long time to cook,Slightly difficult,2-3 times a week,49,Male,Professional degree,learn by doing,Keep all workers busy,who could do something faster,Leave no worker idle,3,M1,D0,E0,N1
R_1PRVR8EyjDbuWMY,A1PHGYLF39FF7,b1,38,39,38,38,24,21,33,Server and Sous-Chef should cook two times each,Server should chop only in the first tick,Don't be afraid of having the sous-chef plate,Slightly easy,Never,30,Male,Professional degree,Allocating tasks to task specialists; not allocating a task immediately if the specialist would be available within a couple ticks,"Intentionally leave some workers idle,Learn who is faster at what first and then assign task to worker who does it the fastest.",Generally sought to align worker with their specialty,"I realized I would have to give some menial tasks (e.g., plating) to the sous chef",3,M0,D2,E0,N0
R_1QFuhESm2HHZ1Sq,A3RF5J7IKV31DR,b1,39,35,36,35,25,20,31.66666667,Server should cook once / Sous-Chef should cook three times,"Server and Sous-Chef should chop two times each,Server shouldn't cook / Sous-Chef should do all cooking,Server should cook once / Sous-Chef should cook three times,Server and Sous-Chef should plate two times each,Server should plate three times / Sous-Chef should plate once,Sous-Chef should chop twice before starting to cook",Server shouldn't cook.,Slightly easy,Once in a while,35,Male,Professional degree,Try to make sure everybody is doing something each click; while making sure the longer processes (cooking) are assigned to the ones that do it faster.,"Keep all workers busy,Intentionally leave some workers idle,Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.","I tried to assign jobs to the workers that do it faster, but also wanted to minimize downtime.","It took a few rounds to determine who is slower with certain tasks, and then I adjusted to minimize the number of times they were assigned that task.",3,K0,D0,E0,N1
R_1QbaXiAmO21QxqT,A2JZT1SP5F3PR1,b1,41,38,38,48,30,26,36.83333333,Server and Sous-Chef should cook two times each,Server and Sous-Chef should plate two times each,Get out. Now.,Extremely difficult,Never,105,Other,Less than high school,"I tried to assign cooking to the chef, chopping to the sous chef, and plating to the server, but by the end, all I wanted was OUT.","Keep all workers busy,Learn who is faster at what first and then assign task to worker who does it the fastest.",I hate this.,This is not worth it. You should pay more. Random and false answers from here on out.,1,,,,
R_1QtNocIBmBDYivm,A3ENLIC1SKPJTD,b1,39,36,39,40,25,26,34.16666667,Keep everyone busy at all time / Do not leave anyone idle,Keep everyone busy at all time / Do not leave anyone idle,Consider keeping someone idle.,Slightly difficult,Never,38,Female,4 year degree,Learn from previous rounds --- which takes more time and which takes less time per worker.,"Keep all workers busy,Learn who is faster at what first and then assign task to worker who does it the fastest.",Faster workers got more work,I had to think about how much work to give a person and remember who did what faster.,2,,,,N0
R_1QxVaA3rVRSYwdm,A3RR05G0TEDY27,b1,39,39,38,40,20,21,32.83333333,Server should cook once / Sous-Chef should cook three times,"Server should chop three times / Sous-Chef should chop once,Server should cook once / Sous-Chef should cook three times,Sous-Chef should chop twice before starting to cook",Server doesn't have to cook,Slightly difficult,Never,22,Male,4 year degree,"Didn't really have a set strategy, learned what worked better as I went","Keep all workers busy,Intentionally leave some workers idle,Learn who is faster at what first and then assign task to worker who does it the fastest.","Gave the chef and sous chef the cooking tasks before anything else, server helped with the prep and handled most of the plating",I tried to leave cooking tasks only to the sous chef when possible even if that meant the server was idle,3,K0,D0,E0,N1
R_1cYr7vWTmQKYnJL,A1KV8D2ER6Z40Y,b1,40,41,39,38,20,21,33.16666667,Server and Sous-Chef should plate two times each,"Server should chop once / Sous-Chef should chop three times,Server shouldn't cook / Sous-Chef should do all cooking,Server and Sous-Chef should plate two times each,Keep everyone busy at all time / Do not leave anyone idle",hold off on plating as long as you can to make sure the server does the most,Moderately difficult,Once a week,49,Female,Some college,use the tips,"Keep all workers busy,Learn who is faster at what first and then assign task to worker who does it the fastest.",tired to use the tips and how many clicks it took to complete a task but took a couple rounds to totally catch on when there were only 2 workers,never left idle and didn't complete plates til the end,2,,,,N0
R_1dKr8LkxM9orjDH,A2VFKHNRK7JEES,b1,41,38,38,38,21,22,33,Server and Sous-Chef should plate two times each,"Server and Sous-Chef should chop two times each,Server should cook once / Sous-Chef should cook three times,Server and Sous-Chef should plate two times each,Keep everyone busy at all time / Do not leave anyone idle",server needs to cook at least once,Slightly difficult,Never,24,Female,2 year degree,Try to always have the staff completing a task,Keep all workers busy,cooking was left to the chef and sous chef,I tried to best utilize the workers I had.,3,K1,D0,E0,N0
R_1djdk6oRVQb7aRy,APX27OTNP4SYJ,b1,37,38,38,36,21,20,31.66666667,Server should cook once / Sous-Chef should cook three times,"Server should cook once / Sous-Chef should cook three times,Sous-Chef should chop twice before starting to cook",Think ahead before assigning tasks.,Moderately difficult,Never,28,Male,4 year degree,To try to figure out the math in my head.,"Intentionally leave some workers idle,Assign as many tasks as possible to one worker",By opportunity cost for time.,"I tried different combinations, but it worked better when I only had the server cook once. Then I tried to work around that.",2,,,,N0
R_1ds4ulWLU5wHhoQ,A333PDAOC8ZX7I,b1,38,38,39,38,22,21,32.66666667,Server shouldn't cook / Sous-Chef should do all cooking,Server shouldn't cook / Sous-Chef should do all cooking,Don't be afraid to leave certain worker idle,Moderately difficult,Once in a while,20,Male,Some college,"I wanted to make sure that all workers were always occupied, and prioritized giving them their optimal job (this might have been a mistake).","Keep all workers busy,Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.","Earlier on, I allowed the server to do cooking tasks, before plating was available, but as burgers became ready, I chose to only let him plate.","I didn't update my strategy much, which is why I think I didn't do that well.",2,,,,N1
R_1eDjeKfkhN6nVPB,A13YOUH9O1IIH7,b1,40,39,42,41,28,24,35.66666667,Keep everyone busy at all time / Do not leave anyone idle,"Sous-Chef should chop twice before starting to cook,Keep everyone busy at all time / Do not leave anyone idle",,Moderately easy,Once in a while,19,Female,Some college,To spread out the work evenly.,"Keep all workers busy,Learn who is faster at what first and then assign task to worker who does it the fastest.",I had the chef do the harder stuff first.,I tried leaving one of the workers idle for a little bit but it backfired.,3,C2,A1,E0,N0
R_1eRBLCmZzqPFjFO,A20FCMWP43CVIU,b1,37,38,39,38,27,22,33.5,Server should chop only in the first tick,Server should cook once / Sous-Chef should cook three times,Server shouldn't cook,Extremely difficult,Never,37,Female,4 year degree,didn't really get it so didn't do too well,Keep all workers busy,I tried but it was confusing,I didn't,3,K0,D0,E0,N1
R_1fZ8KksNLWfA2Eu,AIOLG7U4ZM44P,b1,38,36,39,38,28,22,33.5,Server should cook once / Sous-Chef should cook three times,"Server should cook once / Sous-Chef should cook three times,Server should plate three times / Sous-Chef should plate once",Leave the server idle when there are only cooking tasks.,Neither easy nor difficult,Once a week,28,Male,4 year degree,I assigned tasks to different workers based on their skills.,"Keep all workers busy,Intentionally leave some workers idle,Learn who is faster at what first and then assign task to worker who does it the fastest.",I gave tasks to the workers that they were more skilled at.,"My strategy did not change. I assigned tasks to the more skilled worker, so that it could be done quicker.",3,M1,D0,E0,N1
R_1gngiLoWkhCe8jB,AU7UAH7YK73YS,b1,40,38,38,38,20,20,32.33333333,Server should cook once / Sous-Chef should cook three times,"Server and Sous-Chef should chop two times each,Server should cook once / Sous-Chef should cook three times",Server should only cook once,Slightly difficult,Never,24,Female,4 year degree,"I tried to take the tip seriously and then assign tasks to people who could do them quickest, without leaving people unused too often.","Keep all workers busy,Learn who is faster at what first and then assign task to worker who does it the fastest.","Mostly based on what people were strongest at, and then a little based on who was available when a new task becomes available.",I knew people would need to do the tasks they weren't as strong at.,3,K1,D1,E0,N0
R_1gpFyUQWiwHZdG7,A44R1P6GOQ4DA,b1,36,37,36,39,23,21,32,Keep everyone busy at all time / Do not leave anyone idle,Keep everyone busy at all time / Do not leave anyone idle,super consing game dont play,Extremely difficult,Never,49,Female,Some college,I had absolutely no idea how this game worked and kept clicking and dragging tasks but it makes absolutely no sense,Keep all workers busy,gave tasks to whomever was open,dont know,1,,,,
R_1hA5n00rVjf3gBE,ABZYFG9299ASR,b1,39,43,38,38,20,20,33,Keep everyone busy at all time / Do not leave anyone idle,"Server should chop once / Sous-Chef should chop three times,Server and Sous-Chef should chop two times each,Server should cook once / Sous-Chef should cook three times,Server should plate three times / Sous-Chef should plate once,Keep everyone busy at all time / Do not leave anyone idle",Try to give the Sous-Chef the cooking as many times as possible.,Slightly difficult,Once a week,26,Female,Professional degree,I gave the tasks to people that were their specialty and that they took less time at.,"Keep all workers busy,Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.","I gave the server the plating and chopping the meat because those were the ones they took less time at and occasionally the cooking. I gave the sous-chef the cooking, the chopping and occasionally the plating for the same reasons. I gave the chef the cooking and the chopping for the same reasons.","My strategy changed because in the beginning when the chef was there, I would give the tasks to the people that did it the fastest but when the chef left, I had to improvise and give the tasks to everyone, even if they didn't do it as fast as the other ones.",3,K4,A0,E0,N0
R_1hA6dfUMByNTDNL,A1J9IYN46FX00O,b1,39,38,39,38,28,21,33.83333333,Server should cook once / Sous-Chef should cook three times,"Server and Sous-Chef should chop two times each,Server should cook once / Sous-Chef should cook three times",Use the Server to chop.,Moderately difficult,4-6 times a week,29,Male,4 year degree,"I tried to make sure all workers had something to do, and tried to memorize length of task time.","Keep all workers busy,Assign as many tasks as possible to one worker","Cooks were given cooking jobs, and server was given plating.","I prioritized tasks according to how good the worker was, and instead of focusing on one order, worked on all at the same time.",3,C4,A1,E0,N0
R_1iqj1PWsxI3efOh,A1PUQMNKEYAAH7,b1,38,43,41,38,29,28,36.16666667,Server should cook once / Sous-Chef should cook three times,"Server should cook once / Sous-Chef should cook three times,Server and Sous-Chef should plate two times each,Server should chop only in the first tick,Keep everyone busy at all time / Do not leave anyone idle",Server is the best at pating,Moderately difficult,Once in a while,51,Male,Some college,figure out where to place items for the fewest possible moves depending on how long it took them to perform each task,"Intentionally leave some workers idle,Assign the same task to the same worker",I tried to give the tasks to the workers that took the least number of ticks to do it,I tried to have the server cook sometimes,3,P4,A2,E0,N0
R_1jCEi43cqm5e3Lk,A1LWWVCY9FPIAW,b1,43,38,38,38,27,22,34.33333333,Server should cook once / Sous-Chef should cook three times,Server and Sous-Chef should plate two times each,I'm not sure.,Moderately difficult,Never,24,Male,Some college,"Read instruction, take advice, follow gut.","Keep all workers busy,Learn who is faster at what first and then assign task to worker who does it the fastest.",Prioritized based on availability and efficiency.,I had to use the server to cook at one time.,1,,,,
R_1mCyF17UJKfQbJn,A1ST592G6ZWM5S,b1,38,41,38,38,22,24,33.5,Server should cook once / Sous-Chef should cook three times,Server should cook once / Sous-Chef should cook three times,not all workers have to be working at the same time,Moderately difficult,Once in a while,19,Female,Some college,Pay attention to how much each person takes on each tasks and assign accordingly.,"Keep all workers busy,Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.",the chef would always do the cooking while the server would always do prepping.,"Since chef was unavailable, I had to relocate the tasks to the sous chef and server. Since chef was faster at cooking than the server, I located all of the cooking to the sous chef and prepping to the server.",2,,,,N1
R_1mVfMXn9r0l5Gjl,A2FHZ86C2PBZIM,b1,38,38,40,38,28,21,33.83333333,Keep everyone busy at all time / Do not leave anyone idle,Keep everyone busy at all time / Do not leave anyone idle,Think before reacting,Slightly difficult,Once in a while,27,Female,2 year degree,Concentration,"Keep all workers busy,Learn who is faster at what first and then assign task to worker who does it the fastest.",Whomever can preform the task fastest.,I choose the best tasks for the best employee.,2,,,,N0
R_1mrfrW9zMl7cog3,A3EH3UOCZVR3NI,b1,35,39,35,38,20,21,31.33333333,Server should cook once / Sous-Chef should cook three times,"Server should chop once / Sous-Chef should chop three times,Server should cook once / Sous-Chef should cook three times,Server should plate three times / Sous-Chef should plate once,Server should chop only in the first tick",It might be beneficial to leave the Server to idle,Slightly easy,Never,29,Male,Professional degree,I played on each cook's strengths and listened to the tips,"Intentionally leave some workers idle,Assign the same task to the same worker,Learn who is faster at what first and then assign task to worker who does it the fastest.",I gave the most time consuming tasks to the cook who could perform the duty in the lest amount of time,I focused more on the cooks strengths and weaknesses,3,M1,O1,E0,N0
